report_id,source_id,reported_time_start,reported_time_end,location_text,road_name,district,impact_type,severity_text,location_resolution,geocode_method,lon,lat,match_confidence,notes,geocode_evidence_json
IMP-001,SZNEWS-BEIHUAN-REPLY,2023-09-08T10:23:00+08:00,2023-09-08T18:20:00+08:00,福田区梅林街道北环大道安托山路段北侧,北环大道,福田区,积水;交通中断,路面积水，布置围挡并疏导交通；18:20恢复通行（无水深）,road_segment,OSM_name_match,114.0016415,22.5557158,high,唯一进入主量化的事件级弱标签；坐标是 OSM 北环大道对象代表点，不是来源提供的精确积水点。,"{""why"": ""限定视窗内北环大道 OSM 对象与安托山轨道站相距约几十米，且位于报道所述北侧路段"", ""selected"": {""osm_type"": ""way"", ""osm_id"": 1052079674, ""display_name"": ""北环大道，香安社区，香蜜湖街道，福田区，深圳市"", ""lon"": 114.0016415, ""lat"": 22.5557158}, ""alternatives"": [{""osm_type"": ""node"", ""osm_id"": 11105039836, ""display_name"": ""安托山站"", ""lon"": 114.0012596, ""lat"": 22.5516507}, {""osm_type"": ""way"", ""osm_id"": 1052079686, ""display_name"": ""北环大道，香安社区，梅林街道，福田区"", ""lon"": 114.0011685, ""lat"": 22.5559029}], ""geocoder"": ""OpenStreetMap Nominatim"", ""query_date"": ""2026-09-21""}"
IMP-002,SZ-TRANSPORT-RESPONSE,2023-09-08T06:00:00+08:00,2023-09-08T12:00:00+08:00,罗湖区嘉宾路与建设路十字路口,嘉宾路×建设路,罗湖区,积水;交通受阻,积水严重，救援队以皮划艇运送市民（无水深）,intersection,not_geocoded_outside_study_network,,,low,明确路口，但在正式路网东界之外，不为本研究虚构或选取替代坐标。,{}
IMP-003,SZ-TRANSPORT-RESPONSE,2023-09-07T22:30:00+08:00,2023-09-07T23:30:00+08:00,罗湖区爱国路与文锦中路交界处,爱国路×文锦中路,罗湖区,积水;人员车辆受困,水流湍急，外卖员和车辆受困（无水深）,intersection,not_geocoded_outside_study_network,,,low,明确路口，但在正式路网东界之外。,{}
IMP-004,SZ-LONGGANG-RESPONSE,2023-09-07T20:00:00+08:00,2023-09-08T01:00:00+08:00,龙翔大道与吉祥路交叉口,龙翔大道×吉祥路,龙岗区,积水,严重积水（无水深）,intersection,not_geocoded_outside_study_network,,,low,明确路口，但在正式路网东界之外。,{}
IMP-005,SZ-LONGGANG-RESPONSE,2023-09-07T20:00:00+08:00,2023-09-08T01:00:00+08:00,龙平西路与爱心路交叉口,龙平西路×爱心路,龙岗区,积水,严重积水（无水深）,intersection,not_geocoded_outside_study_network,,,low,明确路口，但在正式路网东界之外。,{}
IMP-006,SZ-LONGGANG-RESPONSE,2023-09-07T20:00:00+08:00,2023-09-08T11:20:00+08:00,黄阁路与清林路交叉口,黄阁路×清林路,龙岗区,积水;交通受阻,严重积水，次日上午积水消退（无水深）,intersection,not_geocoded_outside_study_network,,,low,明确路口，但在正式路网东界之外。,{}
IMP-007,SZ-LONGGANG-RESPONSE,2023-09-07T22:29:00+08:00,2023-09-08T01:00:00+08:00,龙岗区南岸路,南岸路,龙岗区,积水;人员受困,30余人被困车顶（无水深）,road,not_geocoded_outside_study_network,,,low,道路级描述且在正式路网东界之外；没有强行选单点。,{}
IMP-008,SZ-TRANSPORT-RESPONSE,2023-09-07T18:00:00+08:00,2023-09-08T01:00:00+08:00,龙岗中心城干道龙翔大道,龙翔大道,龙岗区,内涝;交通受阻,内涝较严重，凌晨1时积水退去（无水深）,road,not_geocoded_outside_study_network,,,low,道路范围不唯一且在正式路网东界之外。,{}
IMP-009,SZ-TRANSPORT-RESPONSE,2023-09-07T18:00:00+08:00,2023-09-08T15:00:00+08:00,南山区共处置积水167宗,,南山区,积水,167宗积水，来源未逐宗列出位置,district,not_geocoded_insufficient_detail,,,low,仅用于事件背景；不能拆成167个道路标签。,{}
IMP-010,SZ-FUTIAN-RESPONSE,2023-09-07T20:00:00+08:00,2023-09-08T05:00:00+08:00,南园街道、福田街道等受灾较严重区域,,福田区,内涝,受灾较严重，未列明道路和水深,subdistrict,not_geocoded_insufficient_detail,,,low,街道级范围，不指定任意中心点。,{}
